id,event,finished,kickoff_time,minutes,started,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
77,8,False,2024-10-21T19:00:00Z,0,False,7,,16,,2,2
78,8,False,2024-10-19T14:00:00Z,0,False,11,,17,,2,2
79,8,False,2024-10-19T11:30:00Z,0,False,19,,18,,2,4
80,8,False,2024-10-20T13:00:00Z,0,False,13,,20,,5,2
81,9,False,2024-10-27T16:30:00Z,0,False,12,,1,,4,5
82,9,False,2024-10-26T14:00:00Z,0,False,3,,2,,2,4
83,9,False,2024-10-26T14:00:00Z,0,False,10,,4,,2,2
84,9,False,2024-10-26T14:00:00Z,0,False,20,,5,,2,2
85,9,False,2024-10-27T14:00:00Z,0,False,15,,6,,3,4
86,9,False,2024-10-27T14:00:00Z,0,False,18,,7,,3,3
87,9,False,2024-10-26T16:30:00Z,0,False,9,,8,,2,3
88,9,False,2024-10-25T19:00:00Z,0,False,16,,11,,2,2
89,9,False,2024-10-26T14:00:00Z,0,False,17,,13,,2,5
90,9,False,2024-10-27T14:00:00Z,0,False,14,,19,,3,2
91,10,False,2024-11-02T15:00:00Z,0,False,13,,3,,5,2
92,10,False,2024-11-04T20:00:00Z,0,False,4,,9,,2,3
93,10,False,2024-11-02T15:00:00Z,0,False,11,,10,,2,2
94,10,False,2024-11-02T15:00:00Z,0,False,5,,12,,2,5
95,10,False,2024-11-03T16:30:00Z,0,False,6,,14,,3,3
96,10,False,2024-11-02T12:30:00Z,0,False,1,,15,,5,4
97,10,False,2024-11-02T15:00:00Z,0,False,19,,16,,2,2
98,10,False,2024-11-02T15:00:00Z,0,False,8,,17,,2,2
99,10,False,2024-11-03T14:00:00Z,0,False,2,,18,,3,4
100,10,False,2024-11-02T17:30:00Z,0,False,7,,20,,2,2
101,11,False,2024-11-09T15:00:00Z,0,False,3,,4,,2,2
102,11,False,2024-11-09T17:30:00Z,0,False,13,,5,,5,2
103,11,False,2024-11-10T16:30:00Z,0,False,1,,6,,5,4
104,11,False,2024-11-09T15:00:00Z,0,False,9,,7,,2,3
105,11,False,2024-11-09T20:00:00Z,0,False,2,,12,,3,5
106,11,False,2024-11-10T14:00:00Z,0,False,11,,14,,2,3
107,11,False,2024-11-10T14:00:00Z,0,False,15,,16,,3,2
108,11,False,2024-11-10T14:00:00Z,0,False,10,,18,,2,4
109,11,False,2024-11-09T15:00:00Z,0,False,8,,19,,2,2
110,11,False,2024-11-09T15:00:00Z,0,False,17,,20,,2,2
111,12,False,2024-11-23T15:00:00Z,0,False,16,,1,,2,5
112,12,False,2024-11-23T15:00:00Z,0,False,7,,2,,2,4
113,12,False,2024-11-23T15:00:00Z,0,False,5,,3,,2,2
114,12,False,2024-11-23T15:00:00Z,0,False,4,,8,,2,3
115,12,False,2024-11-23T15:00:00Z,0,False,20,,9,,2,3
116,12,False,2024-11-24T16:30:00Z,0,False,14,,10,,3,2
117,12,False,2024-11-23T12:30:00Z,0,False,6,,11,,3,2
118,12,False,2024-11-23T17:30:00Z,0,False,18,,13,,3,5
119,12,False,2024-11-25T20:00:00Z,0,False,19,,15,,2,4
120,12,False,2024-11-24T14:00:00Z,0,False,12,,17,,4,2
121,13,False,2024-11-30T15:00:00Z,0,False,11,,4,,2,2
122,13,False,2024-11-29T20:00:00Z,0,False,17,,5,,2,2
123,13,False,2024-12-01T13:30:00Z,0,False,2,,6,,3,4
124,13,False,2024-11-30T15:00:00Z,0,False,15,,7,,3,3
125,13,False,2024-12-01T16:00:00Z,0,False,13,,12,,5,5
126,13,False,2024-12-01T13:30:00Z,0,False,8,,14,,2,3
127,13,False,2024-11-30T15:00:00Z,0,False,10,,16,,2,2
128,13,False,2024-12-01T13:30:00Z,0,False,9,,18,,2,4
129,13,False,2024-11-30T17:30:00Z,0,False,1,,19,,5,2
130,13,False,2024-11-30T15:00:00Z,0,False,3,,20,,2,2
131,14,False,2024-12-03T19:45:00Z,0,False,14,,1,,3,5
132,14,False,2024-12-03T19:45:00Z,0,False,4,,2,,2,4
133,14,False,2024-12-03T19:45:00Z,0,False,18,,3,,3,2
134,14,False,2024-12-03T19:45:00Z,0,False,20,,8,,2,3
135,14,False,2024-12-03T19:45:00Z,0,False,5,,9,,2,3
136,14,False,2024-12-03T19:45:00Z,0,False,7,,10,,2,2
137,14,False,2024-12-03T19:45:00Z,0,False,19,,11,,2,2
138,14,False,2024-12-04T19:45:00Z,0,False,16,,13,,2,5
139,14,False,2024-12-04T19:45:00Z,0,False,12,,15,,4,4
140,14,False,2024-12-04T19:45:00Z,0,False,6,,17,,3,2
141,15,False,2024-12-07T15:00:00Z,0,False,17,,2,,2,4
142,15,False,2024-12-07T15:00:00Z,0,False,15,,4,,3,2
143,15,False,2024-12-07T15:00:00Z,0,False,13,,7,,5,3
144,15,False,2024-12-07T15:00:00Z,0,False,12,,8,,4,3
145,15,False,2024-12-07T15:00:00Z,0,False,1,,9,,5,3
146,15,False,2024-12-07T15:00:00Z,0,False,3,,10,,2,2
147,15,False,2024-12-07T15:00:00Z,0,False,5,,11,,2,2
148,15,False,2024-12-07T15:00:00Z,0,False,16,,14,,2,3
149,15,False,2024-12-07T15:00:00Z,0,False,6,,18,,3,4
150,15,False,2024-12-07T15:00:00Z,0,False,20,,19,,2,2
151,16,False,2024-12-14T15:00:00Z,0,False,8,,1,,2,5
152,16,False,2024-12-14T15:00:00Z,0,False,19,,3,,2,2
153,16,False,2024-12-14T15:00:00Z,0,False,7,,5,,2,2
154,16,False,2024-12-14T15:00:00Z,0,False,4,,6,,2,4
155,16,False,2024-12-14T15:00:00Z,0,False,9,,12,,2,5
156,16,False,2024-12-14T15:00:00Z,0,False,14,,13,,3,5
157,16,False,2024-12-14T15:00:00Z,0,False,11,,15,,2,4
158,16,False,2024-12-14T15:00:00Z,0,False,2,,16,,3,2
159,16,False,2024-12-14T15:00:00Z,0,False,18,,17,,3,2
160,16,False,2024-12-14T15:00:00Z,0,False,10,,20,,2,2
161,17,False,2024-12-21T15:00:00Z,0,False,13,,2,,5,4
162,17,False,2024-12-21T15:00:00Z,0,False,16,,4,,2,2
163,17,False,2024-12-21T15:00:00Z,0,False,1,,7,,5,3
164,17,False,2024-12-21T15:00:00Z,0,False,6,,8,,3,3
165,17,False,2024-12-21T15:00:00Z,0,False,17,,9,,2,3
166,17,False,2024-12-21T15:00:00Z,0,False,15,,10,,3,2
167,17,False,2024-12-21T15:00:00Z,0,False,20,,11,,2,2
168,17,False,2024-12-21T15:00:00Z,0,False,3,,14,,2,3
169,17,False,2024-12-21T15:00:00Z,0,False,12,,18,,4,4
170,17,False,2024-12-21T15:00:00Z,0,False,5,,19,,2,2
171,18,False,2024-12-26T15:00:00Z,0,False,10,,1,,2,5
172,18,False,2024-12-26T15:00:00Z,0,False,7,,3,,2,2
173,18,False,2024-12-26T15:00:00Z,0,False,4,,5,,2,2
174,18,False,2024-12-26T15:00:00Z,0,False,9,,6,,2,4
175,18,False,2024-12-26T15:00:00Z,0,False,11,,12,,2,5
176,18,False,2024-12-26T15:00:00Z,0,False,8,,13,,2,5
177,18,False,2024-12-26T15:00:00Z,0,False,2,,15,,3,4
178,18,False,2024-12-26T15:00:00Z,0,False,18,,16,,3,2
179,18,False,2024-12-26T15:00:00Z,0,False,19,,17,,2,2
180,18,False,2024-12-26T15:00:00Z,0,False,14,,20,,3,2
181,19,False,2024-12-29T15:00:00Z,0,False,5,,2,,2,4
182,19,False,2024-12-29T15:00:00Z,0,False,1,,4,,5,2
183,19,False,2024-12-29T15:00:00Z,0,False,17,,7,,2,3
184,19,False,2024-12-29T15:00:00Z,0,False,16,,8,,2,3
185,19,False,2024-12-29T15:00:00Z,0,False,3,,9,,2,3
186,19,False,2024-12-29T15:00:00Z,0,False,6,,10,,3,2
187,19,False,2024-12-29T15:00:00Z,0,False,13,,11,,5,2
188,19,False,2024-12-29T15:00:00Z,0,False,15,,14,,3,3
189,19,False,2024-12-29T15:00:00Z,0,False,20,,18,,2,4
190,19,False,2024-12-29T15:00:00Z,0,False,12,,19,,4,2
191,20,False,2025-01-04T15:00:00Z,0,False,11,,2,,2,4
192,20,False,2025-01-04T15:00:00Z,0,False,8,,3,,2,2
193,20,False,2025-01-04T15:00:00Z,0,False,1,,5,,5,2
194,20,False,2025-01-04T15:00:00Z,0,False,6,,7,,3,3
195,20,False,2025-01-04T15:00:00Z,0,False,10,,9,,2,3
196,20,False,2025-01-04T15:00:00Z,0,False,14,,12,,3,5
197,20,False,2025-01-04T15:00:00Z,0,False,19,,13,,2,5
198,20,False,2025-01-04T15:00:00Z,0,False,4,,17,,2,2
199,20,False,2025-01-04T15:00:00Z,0,False,15,,18,,3,4
200,20,False,2025-01-04T15:00:00Z,0,False,16,,20,,2,2
201,21,False,2025-01-14T19:45:00Z,0,False,18,,1,,3,5
202,21,False,2025-01-14T19:45:00Z,0,False,13,,4,,5,2
203,21,False,2025-01-14T19:45:00Z,0,False,2,,8,,3,3
204,21,False,2025-01-14T19:45:00Z,0,False,5,,10,,2,2
205,21,False,2025-01-14T19:45:00Z,0,False,7,,11,,2,2
206,21,False,2025-01-14T19:45:00Z,0,False,12,,16,,4,2
207,21,False,2025-01-14T19:45:00Z,0,False,9,,19,,2,2
208,21,False,2025-01-15T19:45:00Z,0,False,3,,6,,2,4
209,21,False,2025-01-15T20:00:00Z,0,False,17,,14,,2,3
210,21,False,2025-01-15T19:45:00Z,0,False,20,,15,,2,4
211,22,False,2025-01-18T15:00:00Z,0,False,2,,1,,3,5
212,22,False,2025-01-18T15:00:00Z,0,False,12,,4,,4,2
213,22,False,2025-01-18T15:00:00Z,0,False,20,,6,,2,4
214,22,False,2025-01-18T15:00:00Z,0,False,18,,8,,3,3
215,22,False,2025-01-18T15:00:00Z,0,False,13,,10,,5,2
216,22,False,2025-01-18T15:00:00Z,0,False,9,,11,,2,2
217,22,False,2025-01-18T15:00:00Z,0,False,5,,14,,2,3
218,22,False,2025-01-18T15:00:00Z,0,False,3,,15,,2,4
219,22,False,2025-01-18T15:00:00Z,0,False,17,,16,,2,2
220,22,False,2025-01-18T15:00:00Z,0,False,7,,19,,2,2
221,23,False,2025-01-25T15:00:00Z,0,False,19,,2,,2,4
222,23,False,2025-01-25T15:00:00Z,0,False,16,,3,,2,2
223,23,False,2025-01-25T15:00:00Z,0,False,8,,5,,2,2
224,23,False,2025-01-25T15:00:00Z,0,False,4,,7,,2,3
225,23,False,2025-01-25T15:00:00Z,0,False,14,,9,,3,3
226,23,False,2025-01-25T15:00:00Z,0,False,10,,12,,2,5
227,23,False,2025-01-25T15:00:00Z,0,False,6,,13,,3,5
228,23,False,2025-01-25T15:00:00Z,0,False,15,,17,,3,2
229,23,False,2025-01-25T15:00:00Z,0,False,11,,18,,2,4
230,23,False,2025-01-25T15:00:00Z,0,False,1,,20,,5,2
231,24,False,2025-02-01T15:00:00Z,0,False,13,,1,,5,5
232,24,False,2025-02-01T15:00:00Z,0,False,12,,3,,4,2
233,24,False,2025-02-01T15:00:00Z,0,False,18,,4,,3,2
234,24,False,2025-02-01T15:00:00Z,0,False,19,,6,,2,4
235,24,False,2025-02-01T15:00:00Z,0,False,11,,8,,2,3
236,24,False,2025-02-01T15:00:00Z,0,False,17,,10,,2,2
237,24,False,2025-02-01T15:00:00Z,0,False,7,,14,,2,3
238,24,False,2025-02-01T15:00:00Z,0,False,9,,15,,2,4
239,24,False,2025-02-01T15:00:00Z,0,False,5,,16,,2,2
240,24,False,2025-02-01T15:00:00Z,0,False,2,,20,,3,2
241,25,False,2025-02-15T15:00:00Z,0,False,10,,2,,2,4
242,25,False,2025-02-15T15:00:00Z,0,False,6,,5,,3,2
243,25,False,2025-02-15T15:00:00Z,0,False,8,,7,,2,3
244,25,False,2025-02-15T15:00:00Z,0,False,16,,9,,2,3
245,25,False,2025-02-15T15:00:00Z,0,False,1,,11,,5,2
246,25,False,2025-02-15T15:00:00Z,0,False,20,,12,,2,5
247,25,False,2025-02-15T15:00:00Z,0,False,15,,13,,3,5
248,25,False,2025-02-15T15:00:00Z,0,False,3,,17,,2,2
249,25,False,2025-02-15T15:00:00Z,0,False,14,,18,,3,4
250,25,False,2025-02-15T15:00:00Z,0,False,4,,19,,2,2
251,26,False,2025-02-22T15:00:00Z,0,False,19,,1,,2,5
252,26,False,2025-02-22T15:00:00Z,0,False,6,,2,,3,4
253,26,False,2025-02-22T15:00:00Z,0,False,20,,3,,2,2
254,26,False,2025-02-22T15:00:00Z,0,False,14,,8,,3,3
255,26,False,2025-02-22T15:00:00Z,0,False,7,,9,,2,3
256,26,False,2025-02-22T15:00:00Z,0,False,18,,10,,3,2
257,26,False,2025-02-22T15:00:00Z,0,False,4,,11,,2,2
258,26,False,2025-02-22T15:00:00Z,0,False,12,,13,,4,5
259,26,False,2025-02-22T15:00:00Z,0,False,16,,15,,2,4
260,26,False,2025-02-22T15:00:00Z,0,False,5,,17,,2,2
261,27,False,2025-02-25T19:45:00Z,0,False,8,,4,,2,2
262,27,False,2025-02-25T19:45:00Z,0,False,3,,5,,2,2
263,27,False,2025-02-25T20:00:00Z,0,False,2,,7,,3,3
264,27,False,2025-02-25T19:45:00Z,0,False,1,,16,,5,2
265,27,False,2025-02-25T19:45:00Z,0,False,13,,18,,5,4
266,27,False,2025-02-25T19:45:00Z,0,False,11,,19,,2,2
267,27,False,2025-02-25T19:45:00Z,0,False,9,,20,,2,2
268,27,False,2025-02-26T19:45:00Z,0,False,17,,6,,2,4
269,27,False,2025-02-26T20:00:00Z,0,False,15,,12,,3,5
270,27,False,2025-02-26T20:00:00Z,0,False,10,,14,,2,3
